id,proposal_id,last_editor_id,question,answer,updated_at
1,4,8,要如何下單？,先點擊想要贊助的方案之後，照著以下步驟 1、選擇您想要「信用卡付款」或是「ATM轉帳」2、選擇您要宅配或是超商取貨，並輸入對應的收件資訊 3、確認贊助人資訊，並按下立刻付款。 4、之後會根據付款方式給您相關的付款資料 5、付款後回到嘖嘖頁面，點選右上角選單的贊助紀錄，就可以確認剛剛是否付款成功囉！,2022-05-24 17:13:00
2,4,8,請問何時會出貨？,預計於2022年7月初開始依訂單編號陸續出貨。,2022-05-24 15:03:31
3,1,7,請問有什麼需要注意的呢？,由於新品PVC材質，於生產完成即封裝寄送，初次開啟會有些許味道屬於正常，收到後可先打開放置通風處即可消除。若有需清潔，可用中性清潔劑清洗乾淨並完全晾乾，切勿長時間曝曬於太陽下。 ,2022-05-24 15:03:43
4,2,6,有多入之大宗採購需求該怎麼做？,歡迎加入LINE@好友搜尋「@550yisos」，將會有專人與您接洽喔！,2022-05-23 15:28:00
5,7,3,付款方式有哪些？,目前開放ATM、信用卡。,2022-05-23 15:28:00
6,3,4,可以用信用卡分期嗎？,【台灣的募資平台因應政府規定，均沒有提供分期付款的功能】不過，持卡者如果想以自己信卡來做【分期付款】這樣是可以的。但是，這樣就會有分期利率手續費的衍生（相關利率依每家銀行規範為準）所以，想要以分期付款的朋友，請你先與你持卡銀行確認相關資訊。,2022-05-23 15:18:00
7,10,1,十月才能收到商品嗎？,事實上如果不受疫情或戰爭的影響~八月就能出貨了！目前確定八月最少可以出100組~先下單先拿到喔,2022-05-24 21:30:00
8,6,4,有使用說明嗎?,請至粉絲專頁~魔術吸管~參考一下喔~,2022-05-15 14:36:00
9,6,4,是否有分男女版型呢 ?,我們的版型皆為中性版型，中性版是男女皆適合喔！,2022-05-19 15:06:00
10,5,9,可否寄送到國外？,目前我們的商品可以寄送到下列地區：香港(運費$250) / 澳門(運費$250) / 中國(運費$250) / 美國(運費$800) / 日本(運費$600),2022-05-19 15:06:00
